Compound ID,SMILES,measured log(solubility:mol/L),nBase,SpAbs_A,SpMax_A,SpMAD_A,VR1_A,nAromAtom,nSpiro,nBridgehead,nHetero,nN,nO,nS,nP,nF,nCl,nBr,nI,ATS0Z,AATS0dv,AATS0Z,AATS0se,AATS0i,ATSC2c,ATSC4c,ATSC5c,ATSC6c,ATSC7c,ATSC8c,ATSC1dv,ATSC2dv,ATSC3dv,ATSC4dv,ATSC5dv,ATSC6dv,ATSC7dv,ATSC8dv,ATSC2d,ATSC3d,ATSC4d,ATSC5d,ATSC6d,ATSC7d,ATSC8d,ATSC1Z,ATSC2Z,ATSC3Z,ATSC4Z,ATSC5Z,ATSC6Z,ATSC7Z,ATSC8Z,ATSC1v,ATSC2v,ATSC3v,ATSC4v,ATSC5v,ATSC6v,ATSC7v,ATSC8v,ATSC1se,ATSC3se,ATSC4se,ATSC5se,ATSC6se,ATSC7se,ATSC8se,ATSC1p,ATSC1i,ATSC2i,ATSC3i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,AATSC1d,AATSC2Z,AATSC0v,AATSC0i,MATS1c,MATS1Z,MATS2Z,GATS2c,GATS1Z,GATS2Z,GATS2v,GATS1se,GATS2se,GATS2i,BCUTc-1l,BCUTdv-1l,BCUTd-1h,BCUTd-1l,BCUTZ-1l,BalabanJ,nBondsD,nBondsT,FPSA3,RNCG,RPCG,RNCS,RPCS,C2SP1,C1SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,FCSP3,Xch-3d,Xch-4d,Xc-4d,Xc-4dv,NsCH3,NdCH2,NtCH,NdsCH,NsssCH,NaasC,NaaaC,NsNH2,NdNH,NssNH,NaaNH,NtN,NdsN,NaaN,NsssN,NddsN,NaasN,NsOH,NssO,NaaO,NsSH,NdS,NssS,NaaS,NdssS,NddssS,SsssCH,SdssC,SaasC,ETA_shape_y,ETA_beta_ns_d,AETA_eta,AETA_eta_RL,ETA_dEpsilon_D,ETA_dBeta,GeomShapeIndex,nHBDon,IC0,IC1,SIC0,SIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA10,SlogP_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState9,AMID_O,PBF,n5Ring,n7Ring,n8Ring,nHRing,n3HRing,n5HRing,n5aRing,nAHRing,n5AHRing,n6AHRing,nFRing,n6FRing,n7FRing,n8FRing,n9FRing,n10FRing,n11FRing,n12FRing,nG12FRing,nFHRing,n10FHRing,n12FHRing,nG12FHRing,n9FaRing,nFaHRing,nG12FaHRing,nFARing,n9FARing,n10FARing,nFAHRing,n10FAHRing,nRot,JGI1,JGI2,JGI3,JGI4,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,Lipinski,GhoseFilter
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,0,5.818625822352819,2.074313293051944,0.9697709703921364,11.63736668767555,0,0,0,4,0,0,0,0,0,4,0,0,1230,2.802469135802469,153.75,9.6025575,162.0077159370123,-0.0115675457330124,0.0,0.0,0.0,0.0,0.0,-2.908179012345678,-5.972222222222223,2.858796296296295,0.0,0.0,0.0,0.0,0.0,-3.0,2.25,0.0,0.0,0.0,0.0,0.0,-18.0625,61.25,-237.9375,0.0,0.0,0.0,0.0,0.0,-7.930847344957392,84.3363617835726,-276.8016273855901,0.0,0.0,0.0,0.0,0.0,-0.106276,-0.673413,0.0,0.0,0.0,0.0,0.0,-1.762530306250593e-05,-2.068421397300552,-2.625253516077746,1.670496356331552,0.0,0.0,0.0,0.0,-0.4642857142857143,5.104166666666667,50.09902823674371,0.7557946392616867,-0.5032430977264906,-0.0529983495323675,0.1048352588789046,0.9533969835037899,0.6854942233632862,0.7832691484809585,0.7522525816071223,0.8213211306527347,0.8228853297737144,1.128276122379398,-0.1889149308579257,0.7661792371048481,4.01702270543767,0.9866115722243103,5.89785375591247,3.168489872670569,0,0,0.007122419026667152,0.330753788756304,0.5512522318445603,183.3312176983839,0.0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.3535533905932738,0.5154323951168185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9416839980112393,0.4267766952966369,0.0,-3.5,0.5879312138536191,0,1.5,1.75,0.5,0.5833333333333334,-2.790325882761411,0.0,0.0,0.0,11.60093989023252,34.80281967069755,0.0,0.0,5.880003444970339,0.0,0.0,3.792535935529771,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,-1.276234567901234,0.0,0.03935185185185208,0.0,0.0,0.6044439134609859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6000000000000001,0.09523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.0,0,4.000000000000002,2.0,0.8000000000000002,7.999999999999996,0,0,0,3,0,0,0,0,0,3,0,0,942,2.351851851851852,117.75,8.932912375,164.1024939629309,0.04323094674872021,0.0,0.0,0.0,0.0,0.0,-1.256944444444444,-5.935185185185186,1.145833333333333,0.0,0.0,0.0,0.0,0.0,-1.6875,1.265625,0.0,0.0,0.0,0.0,0.0,-5.0625,377.25,-570.9375,0.0,0.0,0.0,0.0,0.0,-24.25984327061432,394.7522544016688,-616.3882248731175,0.0,0.0,0.0,0.0,0.0,-0.04649414062499987,-1.707806109375,0.0,0.0,0.0,0.0,0.0,-0.0342074734943907,-2.301447908493142,-2.471709649870685,1.406116566312893,0.0,0.0,0.0,0.0,-0.5022321428571429,31.4375,61.47395343551575,0.8417602480127335,-1.008882174946374,-0.01455525606469003,0.6327044025157232,0.4464363610640979,0.5509433962264151,0.3213836477987421,0.4067688721563156,0.6437757962950456,0.37553588117211,1.089109455824145,-0.1908694971676252,0.7684456142163841,4.016063385930082,0.9869366140699167,5.88838430259373,3.023715784073818,0,0,0.005828125581463386,0.3116903930765028,0.6951889990559648,196.813415967609,0.0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.5,0.7289314836606525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9134397077140337,0.4,0.0,-2.75,0.675827560423271,0,1.561278124459133,1.811278124459133,0.5204260414863776,0.603759374819711,-2.129910721808897,0.0,0.0,0.0,0.0,34.80281967069755,6.923737199690624,0.0,0.0,0.0,3.792535935529771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,-1.083333333333333,0.0,0.0,0.0,0.0,0.6804835755076256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,0,6.0,1.999999999999999,0.9999999999999999,11.53000977870159,0,0,0,4,0,0,0,0,0,4,0,0,1230,2.552469135802469,153.75,9.6025575,162.0077159370123,-0.0443613729105658,0.0,0.0,0.0,0.0,0.0,-3.463734567901235,-5.021604938271604,3.463734567901234,0.0,0.0,0.0,0.0,0.0,-3.0,2.25,0.0,0.0,0.0,0.0,0.0,-18.0625,-194.75,18.0625,0.0,0.0,0.0,0.0,0.0,-7.930847344957392,-200.3961129469748,7.930847344957392,0.0,0.0,0.0,0.0,0.0,-0.106276,0.106276,0.0,0.0,0.0,0.0,0.0,-1.762530306250506e-05,-2.068421397300552,-3.023178557046747,2.068421397300552,0.0,0.0,0.0,0.0,-0.3214285714285715,-16.22916666666667,50.09902823674371,0.7557946392616867,-0.2429818899454821,-0.0529983495323675,-0.3333333333333334,1.166666666666667,0.6854942233632862,1.166666666666667,1.166666666666667,0.8213211306527347,1.166666666666667,1.166666666666667,-0.1852956735016715,0.7656446736937809,3.111685950670918,0.9865813897322372,5.897859499211069,2.993497243478473,0,0,0.01008436584371821,0.25,0.3354262337929164,244.794005762313,3.521400203279842,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.345679012345679,0.0,0.0,0.2592592592592592,0.0,0.8999870735113037,0.440455735015306,0.0,-3.5,0.6081912284344095,0,1.5,1.5,0.5,0.5,-2.433985882761411,0.0,0.0,0.0,46.40375956093006,0.0,0.0,0.0,0.0,9.67253938050011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6784487480088489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.1481481481481482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,0,5.226251859505506,1.847759065022573,1.045250371901101,8.629874180987342,0,0,0,3,0,0,0,0,0,3,0,0,942,1.851851851851852,117.75,8.932912375,164.1024939629309,-0.0234231409325074,0.0,0.0,0.0,0.0,0.0,-2.368055555555555,-4.033950617283951,2.35570987654321,0.0,0.0,0.0,0.0,0.0,-1.6875,1.265625,0.0,0.0,0.0,0.0,0.0,-5.0625,-134.75,-58.9375,0.0,0.0,0.0,0.0,0.0,-24.2598432706143,-174.7126950594262,-46.92327541202253,0.0,0.0,0.0,0.0,0.0,-0.04649414062499987,-0.1484281093750001,0.0,0.0,0.0,0.0,0.0,-0.03420747349439072,-2.301447908493142,-3.267559731808684,2.201966648250892,0.0,0.0,0.0,0.0,-0.2165178571428572,-11.22916666666667,61.47395343551575,0.8417602480127335,-0.2265371287840767,-0.01455525606469003,-0.2259958071278826,1.091996189203537,0.5509433962264151,1.072746331236897,1.082233578387739,0.6437757962950456,1.07876324605616,1.158049198795275,-0.1849592261034909,0.7660906123802355,3.021852894878086,0.9864005858503966,5.898393110845594,2.539538861359391,0,0,0.01217355616034918,0.3729168969379626,0.3640498515906619,178.6280942377801,0.5191245111966156,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4058641975308643,0.0,0.0,0.1590909090909091,0.0,0.7763281536020702,0.4540111220059324,0.0,-2.75,0.5785664427054011,0,1.561278124459133,1.811278124459133,0.5204260414863776,0.603759374819711,-2.147370721808898,0.0,0.0,0.0,34.80281967069755,0.0,0.0,0.0,5.880003444970339,4.836269690250055,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.880003444970339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3086419753086422,0.0,0.0,0.5528349947686892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.375,0.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1,2-Trichlorotrifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,-3.04,0,7.211102550927981,2.302775637731994,0.9013878188659976,17.88169733199409,0,0,0,6,0,0,0,0,3,3,0,0,1182,22.60185185185185,147.75,12.413488375,208.5911093938375,-0.1817768414076638,0.0,0.0,0.0,0.0,0.0,-0.006944444444444642,-19.36728395061728,-9.672067901234568,0.0,0.0,0.0,0.0,0.0,-6.75,5.0625,0.0,0.0,0.0,0.0,0.0,-27.5625,-68.75,11.5625,0.0,0.0,0.0,0.0,0.0,-4.106651517907604,-47.27741446955685,-16.79428803826576,0.0,0.0,0.0,0.0,0.0,-0.5529781406249994,0.4840718906249993,0.0,0.0,0.0,0.0,0.0,-0.05113251562499992,-8.709500282189047,-21.53693690736874,3.74736534996405,0.0,0.0,0.0,0.0,-0.7232142857142857,-5.729166666666667,17.04458850643255,6.624767959898433,-0.4034842858483242,-0.1858407079646018,-0.2704031465093412,1.159336718133604,1.150442477876106,1.111602753195674,1.077252548979843,1.67153539105611,1.145377293864748,1.112050061074096,-0.2351805525712001,0.7706291197175472,4.11189707900201,0.9867651470618471,5.892648752777996,4.020391543176799,0,0,0.0,0.2777515649885069,0.5332215075648326,124.3670475903855,0.0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.5,0.1619847741468117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.875353126733349,0.40625,0.0,-5.0,0.458346424171869,0,1.561278124459133,1.811278124459133,0.5204260414863776,0.603759374819711,-2.664600442853576,0.0,0.0,13.17124514302446,0.0,23.20187978046503,11.60093989023252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17124514302446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.80281967069755,30.57021604938272,0.0,0.0,0.0,0.0,0.6885238511618379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6428571428571428,0.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,0,3.464101615137754,1.732050807568877,0.8660254037844386,5.583629154612598,0,0,0,2,0,0,0,0,0,2,0,0,654,1.401234567901235,81.75,8.26326725,166.1972719888495,0.01280564505497126,0.0,0.0,0.0,0.0,0.0,-1.148919753086419,-3.626543209876543,1.099537037037037,0.0,0.0,0.0,0.0,0.0,-0.75,0.5625,0.0,0.0,0.0,0.0,0.0,-0.0625,85.25,-255.9375,0.0,0.0,0.0,0.0,0.0,-49.48672903160083,28.92851953471465,-235.2457456989466,0.0,0.0,0.0,0.0,0.0,-0.01107756249999989,-0.7686114375000002,0.0,0.0,0.0,0.0,0.0,-0.1399534287122499,-2.546909577215997,-3.263237755964995,2.148984536246997,0.0,0.0,0.0,0.0,-0.2232142857142857,7.104166666666667,63.95098879895819,0.915290699233499,-0.6112218637562629,-0.0002091612633340305,0.166422645192777,0.6910226798014666,0.5007320644216691,0.7293801854563202,0.8420158154598024,0.5414453214332648,0.7412548854180355,1.134965953882242,-0.184633584298743,0.767764316644941,3.018005899687905,0.9839941003120974,5.888925413150653,2.32379000772445,0,0,0.01274067141135114,0.4294994501695388,0.4249604490181807,153.8461098945068,2.279175411937812,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2222222222222223,0.0,0.0,0.2058823529411765,0.0,0.7319976555218857,0.4330127018922193,0.0,-2.0,0.6598330138976779,0,1.5,1.75,0.5,0.5833333333333334,-1.466564027736467,0.0,0.0,0.0,23.20187978046503,0.0,6.923737199690624,0.0,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.836269690250055,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5644541718892772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1-Dichloroethylene",ClC(=C)Cl,-1.64,0,3.464101615137754,1.732050807568877,0.8660254037844386,5.583629154612598,0,0,0,2,0,0,0,0,0,2,0,0,652,3.534979423868312,108.6666666666667,8.778201666666666,159.957145310383,0.02927012951195627,0.0,0.0,0.0,0.0,0.0,-2.474622770919067,-5.79835390946502,2.425240054869685,0.0,0.0,0.0,0.0,0.0,-0.6666666666666667,0.4444444444444443,0.0,0.0,0.0,0.0,0.0,-4.0,122.0,-252.0,0.0,0.0,0.0,0.0,0.0,-19.16827122616439,113.6138305260271,-265.564203504383,0.0,0.0,0.0,0.0,0.0,-0.03673611111111103,-0.742952888888889,0.0,0.0,0.0,0.0,0.0,-0.02702812720544435,-1.818427977080988,-2.528679445136997,1.420502936111989,0.0,0.0,0.0,0.0,-0.2888888888888889,20.33333333333333,57.03954806817345,0.9755348287019988,-1.107586132016445,-0.01791044776119403,0.4552238805970149,0.04953705129932863,0.5447761194029851,0.4539800995024875,0.5566884576532071,0.6238438741248055,0.5198698951040045,1.193346598014562,-0.2228185130445035,0.7712203436803488,3.033613756505533,0.9680684490343205,5.78893756490214,2.32379000772445,1,0,0.01297183944617675,0.337953349194981,0.4684429275844422,209.3780257600875,12.65783533130033,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111116,0.0,0.2058823529411765,0.0,0.5180369948236496,0.4330127018922193,0.0,-1.0,0.7409263690602697,0,1.584962500721156,1.91829583405449,0.6131471927654584,0.7420981285103057,-1.47346323542649,0.0,0.0,0.0,0.0,29.78081546406353,0.0,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,6.578935683598497,0.1111111111111116,0.0,0.0,0.0,0.0,1.453542647610745e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,1-Diethoxyethane ",CCOC(C)OCC,-0.43,0,8.828427124746192,2.000000000000001,1.103553390593274,21.90430296340827,0,0,0,2,0,2,0,0,0,0,0,0,358,4.181818181818182,16.27272727272727,7.545682909090913,169.1143562038403,0.05549140345791954,-0.005675144300844105,-0.02303388501828409,0.02514807325266764,0.01089384376789334,0.005799502956959807,24.0,-2.0,-45.0,-33.0,-16.0,16.0,12.0,9.0,-0.3553719008264463,-3.826446280991735,-3.785123966942149,-0.1487603305785125,0.8181818181818178,1.338842975206611,0.6694214876033057,3.0,3.0,-30.0,-75.0,-66.0,37.0,12.0,36.0,-219.9866472184262,-161.7549976915319,308.3758271776575,-489.452094053945,-279.0106504117404,138.4522367614637,-6.990828279020572,218.0805603591535,0.02782661157024921,-1.230710942148756,-0.44426350413223,-0.4559162314049598,0.4011138181818134,0.2174911735537163,0.1727535867768578,-1.759795037401656,-10.92461567568189,-6.443666742106686,13.93160916115679,-1.744426735353451,0.9690831692217591,-1.642375071865465,3.639238126488915,0.1003541912632822,0.07894736842105263,44.75332666876267,1.086651344512991,-0.4434601512505117,0.01964285714285714,0.01085526315789474,1.446017845565262,1.14375,1.139802631578947,1.063719044998994,0.9186325547084131,1.454088925844485,1.14166830935275,-0.4029731649203665,0.9872344201224303,3.025752007215499,0.9871447154965193,5.882831702857037,2.919612641438553,0,0,0.02826249218481469,0.4399992749239394,0.1921300333390097,20.24518226420539,0.0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.03703703703703742,0.0,0.0,0.1363636363636364,0.0,0.8014789237666364,0.4760075515613059,0.0,-4.5,0.764033558194097,0,1.240670531676688,1.638619963593209,0.2782127046172332,0.3674504070754055,-1.32901139470886,0.0,0.0,0.0,0.0,0.0,20.77121159907187,13.21376392902584,0.0,0.0,6.290026729335213,0.0,0.0,13.21376392902584,0.0,0.0,9.473725907600098,0.0,0.0,0.0,0.0,6.290026729335213,0.0,13.21376392902584,0.0,0.0,20.77121159907187,0.0,10.12,0.0,0.0,0.0,0.4758036883189415,0.648182301550261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2142857142857142,0.09523809523809526,0.0625,0.016,0.02777777777777778,0.0,0.0,0.0,0.0,0.0,1,0
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,0,12.25029620666007,2.318013514732503,1.225029620666007,31.02024514324736,6,0,0,4,0,0,0,0,0,4,0,0,1374,7.034979423868312,114.5,8.915210333333333,150.2699293213415,-0.02820785847433121,-0.0009004100283828203,-0.003530446699912532,0.0,0.0,0.0,1.370370370370362,-15.01440329218108,-8.601851851851846,-0.9218106995884686,7.231481481481485,0.0,0.0,0.0,-4.833333333333332,-2.416666666666667,-6.106226635438361e-16,2.083333333333333,0.0,0.0,0.0,2.131628207280301e-14,-48.16666666666664,61.25,-170.6666666666667,-61.25000000000001,0.0,0.0,0.0,6.394884621840902e-14,-21.14892625321969,84.33636178357257,-189.821649820365,-84.33636178357264,0.0,0.0,0.0,-1.387778780781446e-17,0.1181949999999999,-0.5197926666666667,-0.1181949999999999,0.0,0.0,0.0,-3.469446951953614e-18,1.376676550535194e-14,-5.515790392801481,-2.625253516077753,2.625253516077739,0.0,0.0,0.0,0.02777777777777784,-2.675925925925924,35.16176267893078,0.9635122922412488,-0.2648282636366333,4.870437640396726e-17,-0.07336887534907333,1.15123853778176,0.5592155369383092,0.7456207159177456,0.6723724683200148,0.6200535071169904,0.8267380094893205,1.194179402462833,-0.2840329105171625,0.7727936668019881,3.255814361214215,0.9922421400460818,5.700297603665427,2.515835979311492,0,0,0.0122557937611801,0.2024991002226271,0.1943317499107612,311.0092217858198,27.71618759328901,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.429444444444447,0.3414634146341463,2.0,0.572415590166779,0.4625897657686229,0.0,2.0,0.5655693472067409,0,1.459147917027245,1.91829583405449,0.40701901811629,0.5350950905814503,-4.565661576512394,0.0,0.0,0.0,0.0,46.40375956093006,12.13273413692322,0.0,20.0905332549653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0905332549653,0.0,0.0,0.0,20.0905332549653,0.0,0.0,12.13273413692322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.019399223387203e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1428571428571429,0.06249999999999999,0.0874074074074074,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"1,2,3,4-Tetrahydronapthalene",C1CCc2ccccc2C1,-4.37,0,13.68323850592755,2.302775637731994,1.368323850592755,36.76857029015851,6,0,0,0,0,0,0,0,0,0,0,0,372,3.818181818181818,16.90909090909091,7.092124000000002,158.4979720541358,-0.0141515424919668,-0.01812717946041033,-1.216713006030237e-05,0.008572571985371218,0.006726621050329996,0.0,15.16528925619835,-2.330578512396692,-19.7603305785124,-30.64462809917356,-1.884297520661157,8.793388429752065,6.479338842975206,0.0,-1.504132231404958,-5.223140495867769,-5.305785123966945,1.008264462809917,2.082644628099173,1.190082644628099,0.0,7.438016528925601,-23.96694214876035,-19.21487603305786,-69.0082644628099,-8.884297520661148,24.79338842975208,20.66115702479339,0.0,66.98005689100818,-215.8246277599162,-173.031813635105,-621.4260833776887,-80.00395684203758,223.2668563033615,186.0557135861345,0.0,0.007056000000001139,-0.01822799999999979,-0.06546400000000023,-0.008428000000001004,0.02351999999999908,0.01959999999999966,0.0,0.2994320186327665,1.626519477555028,-5.241007205455281,-4.201841983683946,-1.942787153746298,5.421731591850277,4.518109659875214,0.0,0.131512756018685,-0.5706414797323892,55.81671407584033,1.35543289796256,0.04276613497740406,0.05217391304347813,-0.09206349206349211,1.070418906313845,1.004347826086956,1.1,1.1,1.004347826086956,1.1,1.100000000000001,-0.3305349822852345,1.837433407194495,3.178641208010005,1.751756967318249,5.686945645598622,1.925367734438661,0,0,0.02979411137698219,0.1280126518464555,0.1292439094868346,125.8559890360391,137.5378745591998,0,0,2,0,4,0,0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.155092592592593,0.2,0.0,0.6413555620008358,0.4966326495188785,0.0,0.5,0.8464575912469195,0,0.9940302114769565,2.368522527728206,0.222905136009398,0.5311265493632514,-2.865086620019952,0.0,0.0,0.0,0.0,24.26546827384644,36.81018947509803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84164324585202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68328649170404,11.12690298339399,0.0,24.26546827384644,0.0,3.155092592592593,0.0,0.0,0.0,0.4033906080429118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.09090909090909091,0.0634920634920635,0.02083333333333333,0.0474074074074074,0.0,0.0,0.0,0.0,0.0,0.0,1,0
